repo_full_name,stars,primary_language,github_description,github_topics
DataDog/stratus-red-team,2342,Go,":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud","['adversary-emulation', 'aws', 'aws-security', 'azure-security', 'cloud-native-security', 'cloud-security', 'detection-engineering', 'gcp-security', 'kubernetes-security', 'mitre-attack', 'purple-team', 'security', 'threat-detection']"
Asymptote-Labs/agent-beacon,244,Go,"Agent Beacon is the world's first open-source telemetry layer for AI agents wherever they run: locally, in CI, or in the cloud.","['agent-ai-cli', 'agent-security', 'ci', 'claude-code', 'cloud', 'codex', 'cursor', 'detection-engineering', 'endpoint-security', 'mobile-device-management', 'security', 'security-information-and-event-management', 'security-tools']"
OpenStudy-dev/OpenStudy,69,Python,"Self-hostable study dashboard with a built-in MCP server, so that your Claude/ChatGPT subscription becomes x10 more effective for your semester","['anthropic', 'claude', 'claude-code', 'education', 'fastapi', 'mcp', 'model-context-protocol', 'open-source', 'productivity', 'react', 'self-hosted', 'students', 'study-dashboard', 'supabase', 'tailwindcss', 'typescript']"
HBAI-Ltd/Toonflow-app,10221,TypeScript,"Toonflow 是开源一站式 AI 短剧创作工具，将小说、剧本快速转化为动画短剧。集成 AI 编剧、智能分镜、角色与视频生成，跨平台桌面端轻量部署，助力创作者低成本批量产出视觉内容。Toonflow is an open-source AI tool that turns stories and scripts into animated short dramas. Features AI scriptwriting, storyboarding, character and video generation. A cross-platform desktop app for efficient content creation.","['ai', 'ai-content-creation', 'ai-tool', 'ai-video-generation', 'automation', 'content-generation', 'desktop-app', 'electron', 'generative-ai', 'image-generation', 'llm', 'nodejs', 'shorts', 'text-to-video', 'typescript', 'video-generation', 'vite', 'vue3']"
AgiFlow/aicode-toolkit,159,TypeScript,Toolkit for Coding Agents to work reliably with repo of any size.,"['full-stack', 'mcp-server', 'programming', 'vibecoding']"
OvertliDS/overtli-studio-suite,14,Python,"A ComfyUI suite of nodes for Pollinations, LM Studio, Copilot CLI, and OpenAI-compatible generation with prompt enhancing, image gen, video gen, speech/audio gen, for local/cloud multi-engine workflows.","['ai', 'comfyui', 'comfyui-api', 'comfyui-custom-node', 'comfyui-nodes', 'copilot-cli', 'github-copilot', 'github-copilot-cli', 'image-generation', 'llm', 'lm-studio', 'openai-compatible', 'overtlids', 'pollinations-ai', 'prompt-enhancement', 'speech-to-text', 'text-to-audio', 'text-to-music', 'text-to-speech', 'video-generation']"
LastBotInc/nextjs-supabase-ai-webapp,24,TypeScript,,[]
Lakr233/FlowDown,1113,Swift,https://flowdown.ai/,[]
ModelEngine-Group/nexent,5161,Python,"Nexent is a zero-code platform for auto-generating production-grade AI agents using Harness Engineering principles — unified tools, skills, memory, and orchestration with built-in constraints, feedback loops, and control planes.","['agent', 'agentic-ai', 'agentic-framework', 'agentic-rag', 'agentic-workflow', 'ai', 'harness', 'harness-engineering', 'llm', 'mcp', 'multi-agent', 'rag']"
ArisGuimera/MobiAI-Core,392,Go,,[]
Alireza29675/yar-agent,16,TypeScript,Yar — Understand Complex Codebases Fast ⚡ 🚀,"['agent', 'claude-agent-sdk', 'code-analysis', 'code-understanding', 'yar']"
GuilhermeAlbert/awesome-ai-conventions,38,,A curated list of emerging conventions to build AI agents.,"['awesome', 'awesome-list', 'awesome-lists']"
FlipForensics/AIFT,33,Python,"AIFT is a GUI, CLI, REST API, and MCP tool that helps DFIR analysts get oriented quickly. Point it at disk images, VM images, forensic archives, or triage packages; AIFT discovers what can be opened, parses artifacts with Dissect, and uses AI to turn parsed data into concrete leads and gaps for the investigator to verify. ","['ai', 'aift', 'chatgpt', 'claude', 'dfir', 'dfir-automation', 'dfir-tools', 'digital-forensics', 'forensics', 'forensics-tools', 'incident-response', 'llm', 'local-ai', 'openai']"
NiuTrans/ToFu,121,Python,"Self-hosted AI assistant with tool use, multi-agent orchestration, coding copilot and a lightweight Flask + vanilla JS stack.",[]
Gerstep/HumanCompiler,152,TypeScript,Compile humans into AI agents — a Claude Code plugin that conducts deep behavioral interviews and generates installable agent plugins,[]
MODSetter/SurfSense,14962,Python,"An open source, privacy focused alternative to NotebookLM for teams with no data limits. Join our Discord: https://discord.gg/ejRNvftDp9","['agent', 'agents', 'ai', 'chrome-extension', 'extension', 'fastapi', 'langchain', 'langgraph', 'nextjs', 'notebooklm', 'ollama', 'perplexity', 'python', 'rag', 'typescript']"
NewLifeX/X,1863,C#,"Core basic components: log (file / network), configuration (XML / JSON / HTTP), cache (memory / redis), network (TCP / UDP / HTTP), RPC framework, serialization (binary / XML / JSON), APM performance tracking. 核心基础组件，日志（文件/网络）、配置（XML/Json/Http）、缓存（内存/Redis）、网络（Tcp/Udp/Http）、RPC框架、序列化（Binary/XML/Json）、APM性能追踪。","['api', 'network', 'newlife', 'reflection', 'rpc', 'security', 'serialize', 'server', 'service', 'thread']"
Jamkris/everything-gemini-code,83,JavaScript,"[Everything Gemini Code] A harness engineering toolkit for Gemini CLI & Antigravity. Tune the runtime around the model, not the model itself","['ai-agents', 'antigravity', 'developer-tools', 'gemini-cli', 'gemini-cli-extension', 'gemini-cli-skills', 'hooks', 'llm-tools', 'mcp', 'productivity', 'slash-commands']"
Copenhagen0x/solana-security-standard,31,JavaScript,"Solana's SOL-0XX security standard — bug-class rules distilled from $514M of real exploits, firing as you code in every AI tool, editor & CI.","['anchor', 'anthropic', 'audit', 'bug-bounty', 'claude-code', 'rust', 'security', 'solana', 'static-analysis']"
IstiN/yoloit,21,Dart,,[]
Provenance-Emu/Provenance,6332,C,"iOS & tvOS multi-emulator frontend, supporting various Atari, Bandai, NEC, Nintendo, Sega, SNK and Sony console systems… Get Started:  https://wiki.provenance-emu.com  | ","['atari', 'catalyst', 'emulation', 'emulator', 'game', 'gameboy', 'gameboyadvance', 'genesis', 'ios', 'macos', 'n64', 'nes', 'nintendo', 'objective-c', 'playstation', 'retrogaming', 'sega', 'snes', 'swift', 'tvos']"
CreminiAI/skillpack,703,TypeScript,Pack and deploy local AI agents for your team in minutes,"['agent', 'agent-skills', 'agentic', 'agentic-ai', 'agentic-workflow', 'ai-skills']"
JuliusBrussee/caveman-code,537,TypeScript,,[]
Automattic/data-liberation-agent,30,TypeScript,Extract content from closed web platforms into WordPress-compatible WXR files.,[]
Oyl-Wallet/oyl-amm,11,Rust,,[]
ROCm/hipDNN,57,C++,[DEPRECATED] Moved to ROCm/rocm-libraries repo,[]
2030ai/2030ai-claudecode-allecosystem-sync,10,Python,"Cross-platform skill & MCP sync for Claude Code CLI, Codex CLI, and Cursor",[]
Cloud-Solutions-International/antikythera,16,Java,Automated test generation for spring apps,[]
BUZZARDGTA/Session-Sniffer,87,Python,A packet sniffer (also known as an IP sniffer/puller) specifically designed for Peer-To-Peer (P2P) video games on PC and consoles (PlayStation and Xbox).,"['console-sniffer', 'ip-puller', 'ip-sniffer', 'ippuller', 'ipsniffer', 'ipsniffing', 'p2p-puller', 'p2p-sniffer', 'packet-capture', 'packet-sniffer', 'packet-sniffing', 'packetsniffer', 'packetsniffing', 'pc', 'playstation', 'session-sniffer', 'sniffer', 'xbox']"
FerroxLabs/ijfw,189,JavaScript,"IJFW — It Just F*cking Works. Ferrox Labs' local-first infrastructure for AI coding agents: shared memory, smart routing, multi-AI cross-audits, disciplined workflow.","['ai-agents', 'ai-coding', 'claude-code', 'codex', 'cursor', 'developer-tools', 'gemini-cli', 'github-copilot', 'mcp', 'mcp-server', 'memory', 'nodejs', 'typescript', 'windsurf']"
ModelTC/LightX2V,2424,Python,Lightweight Image Video Action Generation Inference Framework,"['auto-regressive-diffusion-model', 'diffusion-models', 'dreamzero', 'hunyuan-video', 'lingbot-world', 'ltx-video', 'qwen-image', 'video-generation', 'wan-video', 'world-models']"
KyaniteLabs/mcp-video,47,Python,"Guardrailed video editing MCP server for AI agents. FFmpeg, Hyperframes, repurposing tools, Python client, and CLI. Local, fast, free.","['agent-tools', 'ai-agents', 'ai-video', 'claude', 'claude-code', 'cli', 'cursor', 'ffmpeg', 'hyperframes', 'mcp', 'mcp-server', 'mcp-tools', 'media-automation', 'model-context-protocol', 'python', 'python-library', 'subtitles', 'video', 'video-automation', 'video-editing']"
MarimerLLC/rockbot,19,C#,Autonomous personal agent designed to be cloud-native,"['agent', 'ai']"
BintzGavin/helios,86,TypeScript,Programmatic video creation with web technologies you already know. CSS animations just work.,[]
NFDI4Chem/nmrxiv,22,Vue,"nmrXiv is currently developed as the FAIR, consensus-driven NMR data repository and computational platform. The ultimate goal is to accelerate broader coordination and data sharing among researchers by enabling storage, management, sharing and analysis of NMR data.","['nfdi4chem', 'nmr', 'nmr-data']"
PrestaShop/hummingbird,129,Smarty,Default theme for PrestaShop 9.1+,"['ecommerce', 'front-office', 'modern', 'prestashop', 'prestashop-theme', 'responsive', 'theme']"
EvolvingAgentsLabs/llmos,78,TypeScript,The flagship example—the OS simulation,[]
Kevandrew/sophia,20,Go,Your AI builds the code. Sophia makes sure it's right.,"['ai-agents', 'git', 'version-control']"
Autonoma-Labs/Open-CoWork,34,TypeScript,,[]
Automattic/newspack-workspace,16,PHP,All the code that's fit to ship,[]
Alexli18/binex,62,Python,"Debuggable runtime for AI agent workflows. DAG pipelines, artifact lineage, and replayable runs.","['agent-framework', 'ai', 'ai-agents', 'automation', 'dag', 'litellm', 'llm', 'orchestration', 'workflow']"
AlexChesser/ail,38,Rust,Alexander's Impressive Loops,[]
NiaExperience/PearlOS,52,TypeScript,Your Interface to Intelligence,"['ai', 'ai-companion', 'assistant', 'llm-based-browser', 'local-first', 'open-source', 'openclaw', 'personal']"
Alfanous-team/alfanous,285,Python,"Alfanous is an Arabic search engine API provides the simple and advanced search in Quran , more features and many interfaces...","['api', 'arabic', 'indexing', 'mcp', 'mcp-server', 'python', 'quran', 'search-engine']"
PostHog/DeskHog,484,C,The developer toy that brings developers joy.,[]
PulkitXChadha/awesome-databricks-mcp,19,Python,,[]
Puzzaks/PAIOS,153,Dart,"Run Gemini Nano 100% offline. A powerful, private, & open-source AI interface.","['ai', 'edge-computing', 'gemini', 'gemini-nano', 'google', 'google-ai', 'local', 'offline']"
Hacksore/cursed-repo,91,JavaScript,Average JavaScript repo 🫪,[]
PaulJPhilp/effect-cli-tui,29,TypeScript,,[]
Fannon/search-bookmarks-history-and-tabs,329,JavaScript,"Browser extension to search bookmarks, history and tabs. Supports tagging and fuzzy search.","['bookmark', 'bookmarks', 'browser-extension', 'browserhistory', 'chrome-extension', 'chromium-extension', 'edge-extension', 'firefox-extension', 'manifest-v3', 'search', 'tab-groups', 'tabs-management', 'tagging']"
