repo_full_name,claude_label,human1_label,human2_label,majority_label,human_only_label,human_disagreement
0-AI-UG/cate,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
0niel/university-app,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
0xN0RMXL/BugBountySkills,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
0xdpfly/gin-app-start,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
1Password/SCAM,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
1amageek/SwiftAgent,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
1jehuang/jcode,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
2030ai/2030ai-claudecode-allecosystem-sync,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
26d0/vrchat-ime-chat,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
3MFConsortium/gladius,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
567-labs/instructor,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
9mtm/Agent-Player,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
AI-Escape/open-ice,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
AI45Lab/Code,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AIDotNet/OpenCowork,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,TIE,true
AISecurityConsortium/AIGoat,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AIStoryBuilders/AIStoryBuilders,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
AIrjen/OneButtonPrompt,AI_PRODUCT,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
ALT-F4-LLC/dotfiles.vorpal,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
ARPAHLS/OPSIE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
ActiveInferenceInstitute/GEO-INFER,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
Affitor/affiliate-skills,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,EXCLUDE,TIE,true
Ageniti/Ageniti,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Agent-Threat-Rule/agent-threat-rules,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AgentOps-AI/agentops,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AgentWrapper/agent-orchestrator,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Agents2AgentsAI/ata,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AgiFlow/aicode-toolkit,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Agnuxo1/OpenCLAW-P2P,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Agoric/agoric-sdk,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
AlbertoUAH/datos-gob-es-mcp,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
Alexli18/binex,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Alfanous-team/alfanous,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Alireza29675/yar-agent,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AlphaBitCore/nexus-gateway,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
AngelMunoz/Kipo,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Anson-Trio/BaiShou-Next,EXCLUDE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Antvirf/stui,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Arcanyx-org/NiXium,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,EXCLUDE,CONVENTIONAL_SOFTWARE,TIE,true
Archeb/CyberGroupmate,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
ArdentAILabs/DE-Bench,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Arenukvern/mcp_flutter,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Arindam200/awesome-ai-apps,EXCLUDE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
ArisGuimera/MobiAI-Core,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Auriti-Labs/geo-optimizer-skill,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Automattic/newspack-workspace,EXCLUDE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Autonoma-Labs/Open-CoWork,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Avantis-Labs/avantis_trader_sdk,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Avarok-Cybersecurity/atlas,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Azure-Samples/Copilot-Studio-with-Azure-AI-Search,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
Azure-Samples/art-voice-agent-accelerator,AI_PRODUCT,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,TIE,true
Azure-Samples/multimodal-rag-code-execution,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Azure/azure-sdk-for-python,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Azure/azure-sdk-tools,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Azure/kimojio-rs,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
Azure/oav,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
AzureAD/microsoft-authentication-library-common-for-objc,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
B-M-Capital-Research/honeclaw,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
BNETDocs/bnetdocs-web,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
BUZZARDGTA/Session-Sniffer,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
BintzGavin/helios,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Bitterbot-AI/bitterbot-desktop,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
BlackBeltTechnology/pi-agent-dashboard,AI_PRODUCT,AI_PRODUCT,CONVENTIONAL_SOFTWARE,AI_PRODUCT,TIE,true
BoweyLou/obsidian-mcp-server-enhanced,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Brawl345/Image-Reverse-Search-WebExtension,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
BrowserOperator/browser-operator-core,CONVENTIONAL_SOFTWARE,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
BruinGrowly/Emergent-Code,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Bugb-Technologies/guardlink,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
BuildWithHussain/hive,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
CSlawyer1985/case-type-guide,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
CallMarcus/dji-drone-metadata-embedder,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Case211/remnawave-admin,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Castor6/tactus,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,TIE,true
CavinHuang/comfyui-nodes-docs,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Certora/AIComposer,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
ChenZiHong-Gavin/weekly-vibe-coding,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,EXCLUDE,TIE,true
ClaudiuBogdan/hack-for-facts-eb-client,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Cloud-Solutions-International/antikythera,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
ComeOnOliver/skillshub,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Comfy-Org/docs,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
Community-Access/accessibility-agents,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
CommunityToolkit/Aspire,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
CompanyHelm/companyhelm,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
Copenhagen0x/solana-security-standard,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
CoreAgent-Project/CoreAgent,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Correia-jpv/fucking-awesome-swift,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
Cppys/OpenNovel,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
CreminiAI/skillpack,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
CrispStrobe/CrispEmbed,AI_PRODUCT,AI_PRODUCT,CONVENTIONAL_SOFTWARE,AI_PRODUCT,TIE,true
CumulusNetworks/docs,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
CyberShadow/CyDo,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
Cyfrin/Updraft,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
DCS-BR-Tools/briefing-room-for-dcs,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
DamianB-BitFlipper/proton-drive-sync,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
DataDog/dd-trace-js,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
DataDog/stratus-red-team,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
DaveDushi/kolshek,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
DavidWells/stars,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,EXCLUDE,TIE,true
DeadmanAbir/AgentGenesis,EXCLUDE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,TIE,TIE,true
DevExpress/devextreme-documentation,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,false
DevopsArtFactory/unic,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
DifferentiableUniverseInitiative/jax_cosmo,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
DimitriGilbert/Formedible,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
Disentinel/grafema,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,AI_PRODUCT,CONVENTIONAL_SOFTWARE,TIE,true
Dong90/oh-my-taiyiforge,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,AI_PRODUCT,false
DontFuckMyCode/dfmc,EXCLUDE,EXCLUDE,CONVENTIONAL_SOFTWARE,EXCLUDE,TIE,true
EUCPilots/evergreen-module,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,CONVENTIONAL_SOFTWARE,false
