repo_full_name,primary_label,confidence,evidence_notes
DataDog/stratus-red-team,CONVENTIONAL_SOFTWARE,high,Cloud adversary-emulation/security tool for ordinary security engineers, not AI-system tooling.
Asymptote-Labs/agent-beacon,AI_PRODUCT,high,Telemetry layer specifically for AI agents and coding-agent environments.
OpenStudy-dev/OpenStudy,CONVENTIONAL_SOFTWARE,medium,Self-hosted study dashboard for students; MCP is an embedded feature rather than the primary AI-builder product.
HBAI-Ltd/Toonflow-app,CONVENTIONAL_SOFTWARE,high,End-user desktop content-creation app, AI-central but aimed at creators.
AgiFlow/aicode-toolkit,AI_PRODUCT,high,Toolkit for coding agents and MCP workflows; consumers are AI/coding-agent builders.
OvertliDS/overtli-studio-suite,AI_PRODUCT,high,ComfyUI custom node suite and generation workflow tooling for AI users/builders.
LastBotInc/nextjs-supabase-ai-webapp,EXCLUDE,medium,No description or topics; name is too generic to classify reliably.
Lakr233/FlowDown,EXCLUDE,medium,Only URL-like description with no topics; insufficient evidence from metadata.
ModelEngine-Group/nexent,AI_PRODUCT,high,Zero-code platform for generating production AI agents with orchestration and RAG.
ArisGuimera/MobiAI-Core,EXCLUDE,medium,No description or topics; insufficient evidence.
Alireza29675/yar-agent,AI_PRODUCT,high,Agent/code-understanding tool built around Claude agent SDK.
GuilhermeAlbert/awesome-ai-conventions,EXCLUDE,high,Awesome-list/curated conventions repository, not a software product.
FlipForensics/AIFT,CONVENTIONAL_SOFTWARE,medium,DFIR analysis tool for investigators; AI is embedded assistance rather than AI-builder tooling.
NiuTrans/ToFu,CONVENTIONAL_SOFTWARE,medium,Self-hosted AI assistant product for end users, although multi-agent features make it borderline.
Gerstep/HumanCompiler,AI_PRODUCT,high,Claude Code plugin that generates installable agent plugins; consumers are agent/plugin builders.
MODSetter/SurfSense,CONVENTIONAL_SOFTWARE,high,NotebookLM-like end-user/team knowledge product, AI-central but not primarily AI-builder tooling.
NewLifeX/X,CONVENTIONAL_SOFTWARE,high,General-purpose C# infrastructure/RPC/component library for ordinary developers.
Jamkris/everything-gemini-code,AI_PRODUCT,high,Harness engineering toolkit for Gemini CLI and AI-agent runtime workflows.
Copenhagen0x/solana-security-standard,AI_PRODUCT,medium,Security rules designed to fire in AI tools/editors/CI; likely AI-assisted security tooling.
IstiN/yoloit,EXCLUDE,medium,No description or topics; insufficient evidence.
Provenance-Emu/Provenance,CONVENTIONAL_SOFTWARE,high,iOS/tvOS emulator frontend for end users.
CreminiAI/skillpack,AI_PRODUCT,high,Tooling to pack and deploy local AI agents and skills.
JuliusBrussee/caveman-code,EXCLUDE,medium,No description or topics; insufficient evidence.
Automattic/data-liberation-agent,CONVENTIONAL_SOFTWARE,medium,Content migration tool to WordPress WXR; agent wording but product is a migration utility.
Oyl-Wallet/oyl-amm,EXCLUDE,medium,No description or topics; insufficient evidence.
ROCm/hipDNN,EXCLUDE,high,Deprecated/moved repository; not suitable for target population.
