repo_full_name,stars,primary_language,github_description,github_topics,primary_label,confidence,evidence_notes
DataDog/stratus-red-team,2342,Go,":cloud: :zap: Granular, Actionable Adversary Emulation for the Cloud","['adversary-emulation', 'aws', 'aws-security', 'azure-security', 'cloud-native-security', 'cloud-security', 'detection-engineering', 'gcp-security', 'kubernetes-security', 'mitre-attack', 'purple-team', 'security', 'threat-detection']",CONVENTIONAL_SOFTWARE,high,Cloud adversary-emulation/security tool (Stratus-style); non-AI security software for general operators.
Asymptote-Labs/agent-beacon,244,Go,"Agent Beacon is the world's first open-source telemetry layer for AI agents wherever they run: locally, in CI, or in the cloud.","['agent-ai-cli', 'agent-security', 'ci', 'claude-code', 'cloud', 'codex', 'cursor', 'detection-engineering', 'endpoint-security', 'mobile-device-management', 'security', 'security-information-and-event-management', 'security-tools']",AI_PRODUCT,high,Open-source telemetry layer for AI agents (local/CI/cloud); AI-operations/observability tooling.
OpenStudy-dev/OpenStudy,69,Python,"Self-hostable study dashboard with a built-in MCP server, so that your Claude/ChatGPT subscription becomes x10 more effective for your semester","['anthropic', 'claude', 'claude-code', 'education', 'fastapi', 'mcp', 'model-context-protocol', 'open-source', 'productivity', 'react', 'self-hosted', 'students', 'study-dashboard', 'supabase', 'tailwindcss', 'typescript']",CONVENTIONAL_SOFTWARE,medium,"Self-hostable student study dashboard with built-in MCP server; end-user productivity app, MCP is a feature."
HBAI-Ltd/Toonflow-app,10221,TypeScript,"Toonflow 是开源一站式 AI 短剧创作工具，将小说、剧本快速转化为动画短剧。集成 AI 编剧、智能分镜、角色与视频生成，跨平台桌面端轻量部署，助力创作者低成本批量产出视觉内容。Toonflow is an open-source AI tool that turns stories and scripts into animated short dramas. Features AI scriptwriting, storyboarding, character and video generation. A cross-platform desktop app for efficient content creation.","['ai', 'ai-content-creation', 'ai-tool', 'ai-video-generation', 'automation', 'content-generation', 'desktop-app', 'electron', 'generative-ai', 'image-generation', 'llm', 'nodejs', 'shorts', 'text-to-video', 'typescript', 'video-generation', 'vite', 'vue3']",CONVENTIONAL_SOFTWARE,medium,Toonflow AI short-drama creation desktop tool for creators; AI-central but end-user content-creation app.
AgiFlow/aicode-toolkit,159,TypeScript,Toolkit for Coding Agents to work reliably with repo of any size.,"['full-stack', 'mcp-server', 'programming', 'vibecoding']",AI_PRODUCT,high,Toolkit/MCP server for coding agents to work across large repos; AI-builder tooling.
OvertliDS/overtli-studio-suite,14,Python,"A ComfyUI suite of nodes for Pollinations, LM Studio, Copilot CLI, and OpenAI-compatible generation with prompt enhancing, image gen, video gen, speech/audio gen, for local/cloud multi-engine workflows.","['ai', 'comfyui', 'comfyui-api', 'comfyui-custom-node', 'comfyui-nodes', 'copilot-cli', 'github-copilot', 'github-copilot-cli', 'image-generation', 'llm', 'lm-studio', 'openai-compatible', 'overtlids', 'pollinations-ai', 'prompt-enhancement', 'speech-to-text', 'text-to-audio', 'text-to-music', 'text-to-speech', 'video-generation']",AI_PRODUCT,medium,"ComfyUI node suite for multi-engine generation (image/video/speech); AI-generation tooling, borderline content vs tool."
LastBotInc/nextjs-supabase-ai-webapp,24,TypeScript,,[],EXCLUDE,high,No description or topics; insufficient evidence.
Lakr233/FlowDown,1113,Swift,https://flowdown.ai/,[],EXCLUDE,low,"Only a URL (flowdown.ai) as description, no topics; purpose not confidently determinable from metadata."
ModelEngine-Group/nexent,5161,Python,"Nexent is a zero-code platform for auto-generating production-grade AI agents using Harness Engineering principles — unified tools, skills, memory, and orchestration with built-in constraints, feedback loops, and control planes.","['agent', 'agentic-ai', 'agentic-framework', 'agentic-rag', 'agentic-workflow', 'ai', 'harness', 'harness-engineering', 'llm', 'mcp', 'multi-agent', 'rag']",AI_PRODUCT,high,Zero-code platform for auto-generating production AI agents; consumers are AI builders.
ArisGuimera/MobiAI-Core,392,Go,,[],EXCLUDE,high,Go repo with no description or topics; insufficient evidence.
Alireza29675/yar-agent,16,TypeScript,Yar — Understand Complex Codebases Fast ⚡ 🚀,"['agent', 'claude-agent-sdk', 'code-analysis', 'code-understanding', 'yar']",AI_PRODUCT,medium,"Codebase-understanding agent (claude-agent-sdk, code-analysis); developer AI tooling, borderline vs end-user dev utility."
