schema_version,repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,agent_product_flag,sample_stratum,label,confidence,evidence_notes,annotator_id,annotation_round,adjudication_status,adjudicated_label,adjudication_notes
0.1,0-AI-UG/cate,https://github.com/0-AI-UG/cate,1662,,,,"{""matched_paths"": [""src/agent/extensions/subagent/prompts/implement.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:1000+|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,0niel/university-app,https://github.com/0niel/university-app,246,,,,"{""matched_paths"": ["".cursor/rules/cache.md""], ""queries"": ["".cursor/rules""]}",.github/workflows; test/,tags=1; releases=1,true,stars:200-999|artifact:.cursor/rules|agent_flag:true,,,,,,,,
0.1,0xN0RMXL/BugBountySkills,https://github.com/0xN0RMXL/BugBountySkills,19,,,,"{""matched_paths"": [""MASTER_SYSTEM_PROMPTS/local_model_system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows,,true,stars:10-49|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,0xdpfly/gin-app-start,https://github.com/0xdpfly/gin-app-start,37,,,,"{""matched_paths"": ["".cursor/rules/CLAUDE.md""], ""queries"": ["".cursor/rules""]}",go.mod,,true,stars:10-49|artifact:.cursor/rules|agent_flag:true,,,,,,,,
0.1,1Password/SCAM,https://github.com/1Password/SCAM,130,,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",tests/,,true,stars:50-199|artifact:AGENTS.md|agent_flag:true,,,,,,,,
0.1,1amageek/SwiftAgent,https://github.com/1amageek/SwiftAgent,89,,,,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=0,true,stars:50-199|artifact:CLAUDE.md|agent_flag:true,,,,,,,,
0.1,1jehuang/jcode,https://github.com/1jehuang/jcode,7179,,,,"{""matched_paths"": [""crates/jcode-base/src/prompt/system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,true,stars:1000+|artifact:system_prompt.*|agent_flag:true,,,,,,,,
0.1,2030ai/2030ai-claudecode-allecosystem-sync,https://github.com/2030ai/2030ai-claudecode-allecosystem-sync,10,,,,"{""matched_paths"": [""PROMPT.md""], ""queries"": [""*.prompt.md""]}",tests/,,true,stars:10-49|artifact:*.prompt.md|agent_flag:true,,,,,,,,
0.1,26d0/vrchat-ime-chat,https://github.com/26d0/vrchat-ime-chat,19,,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; go.mod,tags=1; releases=1,true,stars:10-49|artifact:.clinerules|agent_flag:true,,,,,,,,
0.1,3MFConsortium/gladius,https://github.com/3MFConsortium/gladius,52,,,,"{""matched_paths"": ["".github/chatmodes/planning.chatmode.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:.github/chatmodes|agent_flag:true,,,,,,,,
0.1,567-labs/instructor,https://github.com/567-labs/instructor,13190,,,,"{""matched_paths"": ["".cursor/rules/new-features-planning.mdc"", ""docs/examples/multi_modal_gemini.md""], ""queries"": ["".cursor/rules"", ""GEMINI.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:.cursor/rules|agent_flag:true,,,,,,,,
0.1,9mtm/Agent-Player,https://github.com/9mtm/Agent-Player,11,,,,"{""matched_paths"": [""packages/backend/src/tools/system-prompts.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:system-prompt.*|agent_flag:true,,,,,,,,
0.1,AI-Escape/open-ice,https://github.com/AI-Escape/open-ice,25,,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:AGENTS.md|agent_flag:true,,,,,,,,
