repo_full_name,primary_label,confidence,evidence_notes,annotator_id,annotation_round
Lakr233/FlowDown,EXCLUDE,low,Missing repository URL or name leaves insufficient evidence to determine the product category.,claude_r2,1
Arcanyx-org/NiXium,EXCLUDE,low,Missing repository URL or name leaves insufficient evidence to determine the product category.,claude_r2,1
Kevandrew/sophia,AI_PRODUCT,medium,The description frames it as AI-assisted code verification tooling for software development workflows.,claude_r2,1
JKorf/Mexc.Net,CONVENTIONAL_SOFTWARE,medium,It is a .NET client SDK for the MEXC exchange API rather than tooling for building or operating AI systems.,claude_r2,1
Avantis-Labs/avantis_trader_sdk,CONVENTIONAL_SOFTWARE,medium,It is a trader SDK for a specific platform and not primarily for AI builders or operators.,claude_r2,1
Hive-Academy/roocode-generator,EXCLUDE,low,"There is no description, URL, or other evidence sufficient to classify the repository.",claude_r2,1
AIDotNet/OpenCowork,CONVENTIONAL_SOFTWARE,high,An open-source Claude cowork app is an end-user AI application rather than tooling for AI-system builders.,claude_r2,1
Avarok-Cybersecurity/atlas,AI_PRODUCT,high,A pure Rust inference engine is core AI infrastructure for running model inference.,claude_r2,1
FalconChristmas/fpp,CONVENTIONAL_SOFTWARE,high,Falcon Player is end-user software and not primarily tooling for building or operating AI systems.,claude_r2,1
Frankieli123/dokploy-i18n,EXCLUDE,low,"There is no description, URL, or other evidence sufficient to classify the repository.",claude_r2,1
Comfy-Org/docs,EXCLUDE,high,"This is documentation for ComfyUI, so it is a docs-only repository rather than a product repository.",claude_r2,1
ClaudiuBogdan/hack-for-facts-eb-client,CONVENTIONAL_SOFTWARE,medium,A public financial data exploration platform serves end users rather than AI builders or operators.,claude_r2,1
EffortlessMetrics/perl-lsp,AI_PRODUCT,high,"A Rust Perl language server and parser toolkit is developer tooling, not AI tooling, but the parser/LSP focus is conventional language tooling rather than AI-system tooling.",claude_r2,1
JuliusBrussee/caveman-code,EXCLUDE,low,"There is no description, URL, or other evidence sufficient to classify the repository.",claude_r2,1
DeadmanAbir/AgentGenesis,AI_PRODUCT,medium,"It provides customizable Gen AI code snippets for application builders, indicating tooling aimed at developers integrating AI.",claude_r2,1
Godzilla675/clip-js-copilot,CONVENTIONAL_SOFTWARE,medium,An online video editor is end-user creative software rather than tooling for AI-system development or operations.,claude_r2,1
Bugb-Technologies/guardlink,AI_PRODUCT,high,AI-maintained security annotations with continuous threat modeling enforced in CI are AI security and AI-assisted developer tooling.,claude_r2,1
