repo_full_name,primary_label,confidence,evidence_notes,annotator_id,annotation_round
Lakr233/FlowDown,CONVENTIONAL_SOFTWARE,low,Flowdown.ai URL suggests end-user AI product but minimal evidence,claude_r2,1
Arcanyx-org/NiXium,CONVENTIONAL_SOFTWARE,high,Infrastructure-as-code management for system administrators,claude_r2,1
Kevandrew/sophia,AI_PRODUCT,medium,AI code quality tool consumed by developers using AI coding agents,claude_r2,1
JKorf/Mexc.Net,CONVENTIONAL_SOFTWARE,high,Cryptocurrency exchange client library for end-user developers,claude_r2,1
Avantis-Labs/avantis_trader_sdk,CONVENTIONAL_SOFTWARE,low,Trading SDK insufficient evidence for AI_PRODUCT,claude_r2,1
Hive-Academy/roocode-generator,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
AIDotNet/OpenCowork,AI_PRODUCT,high,Open-source Claude Cowork alternative for AI coding agent developers,claude_r2,1
Avarok-Cybersecurity/atlas,AI_PRODUCT,high,Pure Rust LLM inference engine for AI system operators,claude_r2,1
FalconChristmas/fpp,CONVENTIONAL_SOFTWARE,low,Falcon Player likely end-user software insufficient evidence,claude_r2,1
Frankieli123/dokploy-i18n,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Comfy-Org/docs,EXCLUDE,high,Documentation-only repository,claude_r2,1
ClaudiuBogdan/hack-for-facts-eb-client,CONVENTIONAL_SOFTWARE,high,End-user public financial data exploration platform,claude_r2,1
EffortlessMetrics/perl-lsp,CONVENTIONAL_SOFTWARE,high,Perl language server for developers not AI-specific,claude_r2,1
JuliusBrussee/caveman-code,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
DeadmanAbir/AgentGenesis,CONVENTIONAL_SOFTWARE,medium,Generative AI code snippets collection primarily educational content,claude_r2,1
Godzilla675/clip-js-copilot,CONVENTIONAL_SOFTWARE,high,End-user online video editor,claude_r2,1
Bugb-Technologies/guardlink,AI_PRODUCT,high,AI-maintained security annotations with MCP for DevSecOps,claude_r2,1
RajjjAryan/career-copilot,CONVENTIONAL_SOFTWARE,high,AI-powered job search for end-user job seekers,claude_r2,1
FRACerqueira/PromptPlus,CONVENTIONAL_SOFTWARE,high,General-purpose CLI toolkit for .NET developers,claude_r2,1
Nagi-ovo/gemini-voyager,CONVENTIONAL_SOFTWARE,high,End-user browser extension for Gemini users,claude_r2,1
FlagAI-Open/FlagAI,AI_PRODUCT,high,Toolkit for large-scale AI models for AI practitioners,claude_r2,1
Menghuan1918/drawio2go,AI_PRODUCT,high,AI-powered DrawIO with MCP server for AI builders,claude_r2,1
NiaExperience/PearlOS,CONVENTIONAL_SOFTWARE,medium,AI assistant/companion end-user product not AI builder tooling,claude_r2,1
AlbertoUAH/datos-gob-es-mcp,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
GongLingRui/juben,CONVENTIONAL_SOFTWARE,high,AI影视创作 for creative writers not AI system builders,claude_r2,1
Castor6/tactus,AI_PRODUCT,high,Browser AI Agent with Skills for AI agent developers,claude_r2,1
DifferentiableUniverseInitiative/jax_cosmo,CONVENTIONAL_SOFTWARE,medium,Cosmology research library not primarily AI tooling,claude_r2,1
Philip-Cao-9527/code-note-helper,CONVENTIONAL_SOFTWARE,high,End-user browser extension for learning,claude_r2,1
Ageniti/Ageniti,AI_PRODUCT,high,SDK for building agent-facing apps across MCP/AI stacks,claude_r2,1
BlackBeltTechnology/pi-agent-dashboard,AI_PRODUCT,medium,Web dashboard for pi coding-agent sessions for AI developers,claude_r2,1
EpicStaff/EpicStaff,AI_PRODUCT,high,Self-hosted AI agent flow builder for AI practitioners,claude_r2,1
3MFConsortium/gladius,CONVENTIONAL_SOFTWARE,high,3MF file viewer/editor for end users,claude_r2,1
Puzzaks/PAIOS,CONVENTIONAL_SOFTWARE,high,Offline Gemini Nano AI interface end-user application,claude_r2,1
Fannon/search-bookmarks-history-and-tabs,CONVENTIONAL_SOFTWARE,high,Browser extension for bookmark/history search end users,claude_r2,1
DCS-BR-Tools/briefing-room-for-dcs,CONVENTIONAL_SOFTWARE,high,DCS World mission generator for gamers,claude_r2,1
AngelMunoz/Kipo,CONVENTIONAL_SOFTWARE,high,RPG game prototype for end-user players,claude_r2,1
ARPAHLS/OPSIE,AI_PRODUCT,high,Self-Centered Intelligence prototype with MCP for AI researchers,claude_r2,1
HiveTrace/HiveTraceRed,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
ComeOnOliver/skillshub,AI_PRODUCT,high,AI agent skills registry for AI system developers,claude_r2,1
GoodStartLabs/AI_Diplomacy,AI_PRODUCT,high,AI benchmark testing LLMs for AI evaluators,claude_r2,1
HenryLach/taskplane,AI_PRODUCT,high,Multi-agent AI coding orchestration for AI developers,claude_r2,1
AgiFlow/aicode-toolkit,AI_PRODUCT,medium,Toolkit for coding agents handling large repos,claude_r2,1
OpenSPG/KAG,AI_PRODUCT,high,Knowledge graph reasoning with LLMs for AI developers,claude_r2,1
OpenCSGs/csghub-server,CONVENTIONAL_SOFTWARE,high,Backend server for dataset/model management not AI tooling,claude_r2,1
DevopsArtFactory/unic,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
QuantumNous/new-api-docs-v1,EXCLUDE,high,Documentation-only website,claude_r2,1
Autonoma-Labs/Open-CoWork,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
1amageek/SwiftAgent,AI_PRODUCT,high,Declarative AI agent framework for Swift for AI developers,claude_r2,1
Arenukvern/mcp_flutter,AI_PRODUCT,high,MCP Toolkit for Flutter AI Agent Driven Development,claude_r2,1
LiPu-jpg/Openwrite,CONVENTIONAL_SOFTWARE,high,AI novel writing engine for creative writers,claude_r2,1
Naridon-Inc/aura,AI_PRODUCT,medium,Orchestrator for AI-generated code for AI developers,claude_r2,1
NVIDIA-NeMo/Gym,AI_PRODUCT,high,Evaluation environment for models/agents for benchmarking,claude_r2,1
MaoXiaoYuZ/Long-Novel-GPT,CONVENTIONAL_SOFTWARE,high,AI novel generator for creative writers,claude_r2,1
BruinGrowly/Emergent-Code,AI_PRODUCT,low,Code generation system but evidence incomplete,claude_r2,1
PrefectHQ/prefect,CONVENTIONAL_SOFTWARE,high,Workflow orchestration for data pipelines not AI-specific,claude_r2,1
Jamkris/everything-gemini-code,AI_PRODUCT,high,Harness toolkit for Gemini CLI for AI developers,claude_r2,1
0xdpfly/gin-app-start,CONVENTIONAL_SOFTWARE,high,General-purpose Gin framework for web developers,claude_r2,1
DataDog/stratus-red-team,CONVENTIONAL_SOFTWARE,high,Cloud adversary emulation for security professionals,claude_r2,1
Brawl345/Image-Reverse-Search-WebExtension,CONVENTIONAL_SOFTWARE,high,Browser extension for reverse image search end users,claude_r2,1
Peuqui/AIfred-Intelligence,CONVENTIONAL_SOFTWARE,high,Self-hosted multi-agent assistant end-user product,claude_r2,1
Azure/azure-sdk-tools,CONVENTIONAL_SOFTWARE,high,Azure SDK tools for general developers,claude_r2,1
Arindam200/awesome-ai-apps,AI_PRODUCT,high,Collection of RAG/agents/workflows AI use cases for AI builders,claude_r2,1
MatthewSuttles/rubyn-code,AI_PRODUCT,high,Ruby agentic coding assistant powered by Claude,claude_r2,1
BrowserOperator/browser-operator-core,AI_PRODUCT,high,AI browser with multi-agent platform for AI developers,claude_r2,1
Bitterbot-AI/bitterbot-desktop,AI_PRODUCT,high,Local-first AI agent with memory for AI developers,claude_r2,1
NickPittas/DirectorsConsole,CONVENTIONAL_SOFTWARE,high,ComfyUI prompt generation web app for end users,claude_r2,1
NVIDIA/VisRTX,CONVENTIONAL_SOFTWARE,medium,NVIDIA OptiX ANARI implementation not AI tooling,claude_r2,1
JMBeresford/retrom,CONVENTIONAL_SOFTWARE,high,Game library/collection management end-user service,claude_r2,1
GuilhermeAlbert/awesome-ai-conventions,EXCLUDE,high,Curated list only no executable software,claude_r2,1
Prof-Harita/terminaI,AI_PRODUCT,high,Open-source Cowork alternative for AI coding agent developers,claude_r2,1
JunDamin/hwpapi,CONVENTIONAL_SOFTWARE,medium,Python wrapper for HWP not AI-specific,claude_r2,1
Correia-jpv/fucking-awesome-swift,EXCLUDE,high,Curated awesome list only no executable software,claude_r2,1
JetBrains/intellij-community,CONVENTIONAL_SOFTWARE,high,IntelliJ IDEA IDE for general developers,claude_r2,1
Prismer-AI/Prismer,AI_PRODUCT,medium,Open Source Research Claw but evidence incomplete,claude_r2,1
HomericIntelligence/ProjectOdyssey,AI_PRODUCT,medium,Mojo training framework for AI practitioners,claude_r2,1
CallMarcus/dji-drone-metadata-embedder,CONVENTIONAL_SOFTWARE,high,DJI drone telemetry CLI for end users,claude_r2,1
PureCutCNC/purecutcnc,CONVENTIONAL_SOFTWARE,high,CAD/CAM workspace for hobbyists/end users,claude_r2,1
AISecurityConsortium/AIGoat,AI_PRODUCT,high,AI security playground for LLM red teaming practitioners,claude_r2,1
AzureAD/microsoft-authentication-library-common-for-objc,CONVENTIONAL_SOFTWARE,high,Authentication library common code for developers,claude_r2,1
HorusGoul/eslint-plugin-react-render-types,CONVENTIONAL_SOFTWARE,high,ESLint plugin for TypeScript developers not AI-specific,claude_r2,1
2030ai/2030ai-claudecode-allecosystem-sync,AI_PRODUCT,high,Skill and MCP sync for AI coding agents,claude_r2,1
Cyfrin/Updraft,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
DontFuckMyCode/dfmc,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
QuickerHub/quicker-rpc,AI_PRODUCT,high,AI desktop assistant with MCP for Quicker for AI builders,claude_r2,1
PallasBot/Pallas-Bot,CONVENTIONAL_SOFTWARE,high,Arknights game bot for end-user gamers,claude_r2,1
QuasarBrains/Simple-Agent,AI_PRODUCT,medium,LLM-powered agent for AI developers but limited evidence,claude_r2,1
Protelis/Protelis,CONVENTIONAL_SOFTWARE,medium,Java-hosted Protelis execution for developers,claude_r2,1
Raphasha27/Raphasha27,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Oyl-Wallet/oyl-amm,EXCLUDE,low,Insufficient evidence provided,claude_r2,1
Azure-Samples/art-voice-agent-accelerator,CONVENTIONAL_SOFTWARE,high,Omnichannel voice agents on Azure end-user product,claude_r2,1
Myriad-Dreamin/tinymist,CONVENTIONAL_SOFTWARE,high,Language service for Typst for general developers,claude_r2,1
NewLifeX/NewLife.RocketMQ,CONVENTIONAL_SOFTWARE,high,RocketMQ client for general developers,claude_r2,1
MicrosoftDocs/fabric-docs,EXCLUDE,high,Documentation-only repository,claude_r2,1
MinLL/MinAI,CONVENTIONAL_SOFTWARE,high,LLM bridge for Skyrim Mods for end-user gamers,claude_r2,1
NewLifeX/NewLife.Agent,CONVENTIONAL_SOFTWARE,high,Cross-platform service management framework for .NET devs,claude_r2,1
AIStoryBuilders/AIStoryBuilders,CONVENTIONAL_SOFTWARE,high,AI-powered novel writing tool for end users,claude_r2,1
FlipForensics/AIFT,AI_PRODUCT,high,DFIR tool with MCP for security analysts building AI systems,claude_r2,1
Affitor/affiliate-skills,CONVENTIONAL_SOFTWARE,high,AI agent skills for affiliate marketing for marketers,claude_r2,1
PaloAltoNetworks/docusaurus-openapi-docs,CONVENTIONAL_SOFTWARE,high,OpenAPI docs plugin for Docusaurus for devs,claude_r2,1
DaveDushi/kolshek,CONVENTIONAL_SOFTWARE,high,CLI for tracking finances for end users,claude_r2,1
JetBrains/koog,AI_PRODUCT,high,JVM AI agent framework for AI developers,claude_r2,1
