repo_full_name,primary_label,confidence,evidence_notes,annotator_id,annotation_round
Lakr233/FlowDown,EXCLUDE,low,"Only a URL (flowdown.ai) as description, no topics; purpose not confidently determinable from metadata.",claude_r2,1
Arcanyx-org/NiXium,CONVENTIONAL_SOFTWARE,high,Open-source Infrastructure-as-Code management solution for general systems; non-AI developer tool.,claude_r2,1
Kevandrew/sophia,AI_PRODUCT,medium,"AI-code verification tool (""makes sure it's right""); consumers are developers operating/validating AI-generated code.",claude_r2,1
JKorf/Mexc.Net,CONVENTIONAL_SOFTWARE,high,C# client library for the MEXC crypto exchange REST/WebSocket API; ordinary developer SDK.,claude_r2,1
Avantis-Labs/avantis_trader_sdk,CONVENTIONAL_SOFTWARE,medium,Trading SDK (Avantis); finance developer library with no AI-tooling indication.,claude_r2,1
Hive-Academy/roocode-generator,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
AIDotNet/OpenCowork,CONVENTIONAL_SOFTWARE,medium,End-user desktop productivity app (Claude Cowork clone) for Win/macOS/Linux; AI-central but consumers are end users.,claude_r2,1
Avarok-Cybersecurity/atlas,AI_PRODUCT,high,Pure Rust LLM inference engine; infrastructure for operating AI models.,claude_r2,1
FalconChristmas/fpp,CONVENTIONAL_SOFTWARE,medium,"""Falcon Player"" (FPP) light-show/sequencing player; domain end-user software, no AI tooling.",claude_r2,1
Frankieli123/dokploy-i18n,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
Comfy-Org/docs,EXCLUDE,high,"Documentation for ComfyUI; docs-only, not a software product.",claude_r2,1
ClaudiuBogdan/hack-for-facts-eb-client,CONVENTIONAL_SOFTWARE,high,Public-finance data exploration platform for citizens/journalists; end-user web application.,claude_r2,1
EffortlessMetrics/perl-lsp,CONVENTIONAL_SOFTWARE,high,Perl language server and parser toolkit; non-AI developer tooling.,claude_r2,1
JuliusBrussee/caveman-code,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
DeadmanAbir/AgentGenesis,EXCLUDE,medium,"Copy-paste Gen-AI code snippet collection; not shipped as executable/reusable software, content-style repo.",claude_r2,1
Godzilla675/clip-js-copilot,CONVENTIONAL_SOFTWARE,high,Online video editor built with Next.js/Remotion/ffmpeg; end-user application.,claude_r2,1
Bugb-Technologies/guardlink,AI_PRODUCT,medium,AI-maintained security annotations / continuous threat modeling enforced in CI (mcp/devsecops); AI-operations tooling for security.,claude_r2,1
RajjjAryan/career-copilot,CONVENTIONAL_SOFTWARE,medium,"AI-powered job-search automation pipeline for end users; AI-central but end-user-facing, not AI-builder tooling.",claude_r2,1
FRACerqueira/PromptPlus,CONVENTIONAL_SOFTWARE,high,Interactive CLI toolkit for .NET console applications; non-AI developer tool.,claude_r2,1
Nagi-ovo/gemini-voyager,CONVENTIONAL_SOFTWARE,medium,"Browser extension enhancing Gemini/AI Studio (timeline, folders, export); end-user productivity add-on, not AI-builder infra.",claude_r2,1
FlagAI-Open/FlagAI,AI_PRODUCT,high,FlagAI toolkit for large-scale AI models; infrastructure for building/training models.,claude_r2,1
Menghuan1918/drawio2go,CONVENTIONAL_SOFTWARE,medium,"DrawIO diagram editor application with AI assistance; end-user product, AI is a feature not the product.",claude_r2,1
NiaExperience/PearlOS,CONVENTIONAL_SOFTWARE,low,"AI companion/assistant browser (""Interface to Intelligence""); AI-central end-user app, borderline vs AI_PRODUCT.",claude_r2,1
AlbertoUAH/datos-gob-es-mcp,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
GongLingRui/juben,CONVENTIONAL_SOFTWARE,medium,AI screenwriting/film-creation assistant platform for end-user creators; AI-central but end-user-facing application.,claude_r2,1
Castor6/tactus,CONVENTIONAL_SOFTWARE,low,"Browser AI-agent extension with skill system for end users; AI-central end-user app, borderline vs AI_PRODUCT.",claude_r2,1
DifferentiableUniverseInitiative/jax_cosmo,CONVENTIONAL_SOFTWARE,high,"Differentiable cosmology library in JAX; scientific-computing library, not AI tooling.",claude_r2,1
Philip-Cao-9527/code-note-helper,CONVENTIONAL_SOFTWARE,medium,Browser extension for algorithm-practice review notes with spaced repetition; end-user study tool using AI internally.,claude_r2,1
Ageniti/Ageniti,AI_PRODUCT,high,SDK for building agent-facing apps across MCP/CLI/AI tool stacks; tooling for AI builders.,claude_r2,1
BlackBeltTechnology/pi-agent-dashboard,AI_PRODUCT,medium,Web dashboard for monitoring/controlling pi coding-agent sessions; tooling for operators of AI coding agents.,claude_r2,1
EpicStaff/EpicStaff,AI_PRODUCT,high,Self-hosted platform for building AI agent flows (visual editor/orchestration); consumers are AI builders.,claude_r2,1
3MFConsortium/gladius,CONVENTIONAL_SOFTWARE,high,Viewer/editor for 3mf files (volumetric extension); ordinary domain software.,claude_r2,1
Puzzaks/PAIOS,CONVENTIONAL_SOFTWARE,medium,Offline Gemini Nano AI interface for end users; AI-central but an end-user app.,claude_r2,1
Fannon/search-bookmarks-history-and-tabs,CONVENTIONAL_SOFTWARE,high,Browser extension for searching bookmarks/history/tabs; ordinary end-user utility.,claude_r2,1
DCS-BR-Tools/briefing-room-for-dcs,CONVENTIONAL_SOFTWARE,high,Mission generator for DCS World flight sim; end-user game tooling.,claude_r2,1
AngelMunoz/Kipo,CONVENTIONAL_SOFTWARE,high,RPG-like game prototype in F#/MonoGame; ordinary game software.,claude_r2,1
ARPAHLS/OPSIE,CONVENTIONAL_SOFTWARE,low,"AI-human interaction ""SCI"" prototype; agentic/RAG/MCP topics pull toward AI_PRODUCT but framed as a standalone end-user assistant — borderline.",claude_r2,1
HiveTrace/HiveTraceRed,EXCLUDE,high,No description or topics; insufficient evidence.,claude_r2,1
ComeOnOliver/skillshub,AI_PRODUCT,high,AI agent skills registry with skill-resolution API; tooling for AI-agent builders.,claude_r2,1
GoodStartLabs/AI_Diplomacy,AI_PRODUCT,high,"LLM benchmark (frontier models playing Diplomacy); AI evaluation, consumers are AI researchers.",claude_r2,1
